State,Year,Spending
United States,1999,1079208.0
New England,1999,65048.0
Connecticut,1999,16690.0
Maine,1999,5566.0
Massachusetts,1999,30810.0
New Hampshire,1999,4866.0
Rhode Island,1999,4677.0
Vermont,1999,2439.0
Mideast,1999,210031.0
Delaware,1999,3519.0
District of Columbia,1999,3587.0
Maryland,1999,20846.0
New Jersey,1999,36324.0
New York,1999,91427.0
Pennsylvania,1999,54327.0
Great Lakes,1999,174828.0
Illinois,1999,48296.0
Indiana,1999,22871.0
Michigan,1999,37812.0
Ohio,1999,44513.0
Wisconsin,1999,21335.0
Plains,1999,76185.0
Iowa,1999,11661.0
Kansas,1999,10663.0
Minnesota,1999,20365.0
Missouri,1999,21490.0
Nebraska,1999,6388.0
North Dakota,1999,2665.0
South Dakota,1999,2953.0
Southeast,1999,256930.0
Alabama,1999,16344.0
Arkansas,1999,9326.0
Florida,1999,65120.0
Georgia,1999,27602.0
Kentucky,1999,15324.0
Louisiana,1999,17362.0
Mississippi,1999,9672.0
North Carolina,1999,29077.0
South Carolina,1999,14393.0
Tennessee,1999,21580.0
Virginia,1999,23480.0
West Virginia,1999,7648.0
Southwest,1999,104901.0
Arizona,1999,15413.0
New Mexico,1999,5955.0
Oklahoma,1999,12204.0
Texas,1999,71330.0
Rocky Mountains,1999,29757.0
Colorado,1999,14640.0
Idaho,1999,4025.0
Montana,1999,3205.0
Utah,1999,6114.0
Wyoming,1999,1773.0
Far West,1999,161530.0
Alaska,1999,2546.0
California,1999,115105.0
Hawaii,1999,4529.0
Nevada,1999,6086.0
Oregon,1999,11991.0
Washington,1999,21273.0
United States,2000,1157014.0
New England,2000,69388.0
Connecticut,2000,17626.0
Maine,2000,5924.0
Massachusetts,2000,32893.0
New Hampshire,2000,5252.0
Rhode Island,2000,5012.0
Vermont,2000,2681.0
Mideast,2000,222895.0
Delaware,2000,3737.0
District of Columbia,2000,3599.0
Maryland,2000,22451.0
New Jersey,2000,39890.0
New York,2000,95456.0
Pennsylvania,2000,57762.0
Great Lakes,2000,187589.0
Illinois,2000,51805.0
Indiana,2000,24475.0
Michigan,2000,40308.0
Ohio,2000,47818.0
Wisconsin,2000,23183.0
Plains,2000,82337.0
Iowa,2000,12378.0
Kansas,2000,11381.0
Minnesota,2000,22230.0
Missouri,2000,23322.0
Nebraska,2000,7069.0
North Dakota,2000,2814.0
South Dakota,2000,3142.0
Southeast,2000,278482.0
Alabama,2000,17459.0
Arkansas,2000,9934.0
Florida,2000,71336.0
Georgia,2000,29627.0
Kentucky,2000,16820.0
Louisiana,2000,17982.0
Mississippi,2000,10549.0
North Carolina,2000,31919.0
South Carolina,2000,15487.0
Tennessee,2000,23303.0
Virginia,2000,26011.0
West Virginia,2000,8055.0
Southwest,2000,112141.0
Arizona,2000,16645.0
New Mexico,2000,6307.0
Oklahoma,2000,12966.0
Texas,2000,76223.0
Rocky Mountains,2000,32917.0
Colorado,2000,16298.0
Idaho,2000,4381.0
Montana,2000,3484.0
Utah,2000,6794.0
Wyoming,2000,1959.0
Far West,2000,171265.0
Alaska,2000,2863.0
California,2000,121218.0
Hawaii,2000,4701.0
