State,Year,Spending
United States,1999,3868.0
New England,1999,4701.0
Connecticut,1999,4929.0
Maine,1999,4394.0
Massachusetts,1999,4877.0
New Hampshire,1999,3982.0
Rhode Island,1999,4495.0
Vermont,1999,4033.0
Mideast,1999,4555.0
Delaware,1999,4541.0
District of Columbia,1999,6291.0
Maryland,1999,3967.0
New Jersey,1999,4345.0
New York,1999,4842.0
Pennsylvania,1999,4430.0
Great Lakes,1999,3888.0
Illinois,1999,3908.0
Indiana,1999,3784.0
Michigan,1999,3820.0
Ohio,1999,3927.0
Wisconsin,1999,4001.0
Plains,1999,3982.0
Iowa,1999,3997.0
Kansas,1999,3981.0
Minnesota,1999,4179.0
Missouri,1999,3864.0
Nebraska,1999,3747.0
North Dakota,1999,4136.0
South Dakota,1999,3935.0
Southeast,1999,3747.0
Alabama,1999,3689.0
Arkansas,1999,3517.0
Florida,1999,4132.0
Georgia,1999,3431.0
Kentucky,1999,3814.0
Louisiana,1999,3892.0
Mississippi,1999,3420.0
North Carolina,1999,3658.0
South Carolina,1999,3621.0
Tennessee,1999,3827.0
Virginia,1999,3354.0
West Virginia,1999,4221.0
Southwest,1999,3403.0
Arizona,1999,3068.0
New Mexico,1999,3293.0
Oklahoma,1999,3551.0
Texas,1999,3470.0
Rocky Mountains,1999,3272.0
Colorado,1999,3464.0
Idaho,1999,3155.0
Montana,1999,3571.0
Utah,1999,2775.0
Wyoming,1999,3606.0
Far West,1999,3473.0
Alaska,1999,4076.0
California,1999,3436.0
Hawaii,1999,3742.0
Nevada,1999,3146.0
Oregon,1999,3533.0
Washington,1999,3641.0
United States,2000,4101.0
New England,2000,4974.0
Connecticut,2000,5166.0
Maine,2000,4638.0
Massachusetts,2000,5171.0
New Hampshire,2000,4236.0
Rhode Island,2000,4772.0
Vermont,2000,4398.0
Mideast,2000,4805.0
Delaware,2000,4752.0
District of Columbia,2000,6292.0
Maryland,2000,4227.0
New Jersey,2000,4732.0
New York,2000,5024.0
Pennsylvania,2000,4702.0
Great Lakes,2000,4149.0
Illinois,2000,4166.0
Indiana,2000,4018.0
Michigan,2000,4050.0
Ohio,2000,4208.0
Wisconsin,2000,4314.0
Plains,2000,4272.0
Iowa,2000,4226.0
Kansas,2000,4225.0
Minnesota,2000,4506.0
Missouri,2000,4159.0
Nebraska,2000,4125.0
North Dakota,2000,4383.0
South Dakota,2000,4157.0
Southeast,2000,4007.0
Alabama,2000,3921.0
Arkansas,2000,3709.0
Florida,2000,4445.0
Georgia,2000,3601.0
Kentucky,2000,4154.0
Louisiana,2000,4021.0
Mississippi,2000,3704.0
North Carolina,2000,3950.0
South Carolina,2000,3848.0
Tennessee,2000,4086.0
Virginia,2000,3661.0
West Virginia,2000,4458.0
Southwest,2000,3574.0
Arizona,2000,3225.0
New Mexico,2000,3463.0
Oklahoma,2000,3754.0
Texas,2000,3639.0
Rocky Mountains,2000,3551.0
Colorado,2000,3767.0
Idaho,2000,3372.0
Montana,2000,3855.0
Utah,2000,3027.0
Wyoming,2000,3964.0
Far West,2000,3629.0
Alaska,2000,4559.0
California,2000,3567.0
Hawaii,2000,3874.0
Nevada,2000,3392.0
Oregon,2000,3734.0
Washington,2000,3863.0
United States,2001,4411.0
New England,2001,5372.0
Connecticut,2001,5541.0
Maine,2001,5049.0
Massachusetts,2001,5608.0
New Hampshire,2001,4520.0
Rhode Island,2001,5141.0
Vermont,2001,4792.0
Mideast,2001,5159.0
Delaware,2001,5062.0
District of Columbia,2001,6637.0
Maryland,2001,4592.0
New Jersey,2001,4990.0
New York,2001,5419.0
Pennsylvania,2001,5056.0
Great Lakes,2001,4482.0
Illinois,2001,4448.0
Indiana,2001,4335.0
Michigan,2001,4297.0
Ohio,2001,4637.0
Wisconsin,2001,4744.0
Plains,2001,4605.0
Iowa,2001,4561.0
Kansas,2001,4532.0
Minnesota,2001,4880.0
Missouri,2001,4447.0
Nebraska,2001,4545.0
North Dakota,2001,4797.0
South Dakota,2001,4374.0
Southeast,2001,4299.0
Alabama,2001,4158.0
Arkansas,2001,4008.0
Florida,2001,4724.0
Georgia,2001,3800.0
Kentucky,2001,4455.0
Louisiana,2001,4261.0
Mississippi,2001,4063.0
North Carolina,2001,4350.0
South Carolina,2001,4222.0
Tennessee,2001,4470.0
Virginia,2001,3850.0
West Virginia,2001,4872.0
Southwest,2001,3851.0
Arizona,2001,3435.0
New Mexico,2001,3732.0
Oklahoma,2001,4093.0
Texas,2001,3924.0
Rocky Mountains,2001,3806.0
Colorado,2001,3994.0
Idaho,2001,3631.0
Montana,2001,4197.0
Utah,2001,3285.0
Wyoming,2001,4275.0
Far West,2001,3913.0
Alaska,2001,5163.0
California,2001,3831.0
Hawaii,2001,4094.0
Nevada,2001,3674.0
Oregon,2001,4139.0
Washington,2001,4168.0
United States,2002,4750.0
New England,2002,5820.0
Connecticut,2002,5933.0
Maine,2002,5492.0
Massachusetts,2002,6118.0
New Hampshire,2002,4827.0
Rhode Island,2002,5564.0
Vermont,2002,5260.0
Mideast,2002,5548.0
Delaware,2002,5518.0
District of Columbia,2002,7167.0
Maryland,2002,4986.0
New Jersey,2002,5405.0
New York,2002,5828.0
Pennsylvania,2002,5389.0
Great Lakes,2002,4822.0
Illinois,2002,4786.0
Indiana,2002,4664.0
Michigan,2002,4576.0
Ohio,2002,5037.0
Wisconsin,2002,5085.0
Plains,2002,4981.0
Iowa,2002,4845.0
Kansas,2002,4839.0
Minnesota,2002,5312.0
Missouri,2002,4843.0
Nebraska,2002,4872.0
North Dakota,2002,5298.0
South Dakota,2002,4836.0
Southeast,2002,4606.0
Alabama,2002,4513.0
Arkansas,2002,4355.0
Florida,2002,5021.0
Georgia,2002,4139.0
Kentucky,2002,4823.0
Louisiana,2002,4544.0
Mississippi,2002,4403.0
North Carolina,2002,4574.0
South Carolina,2002,4547.0
Tennessee,2002,4688.0
Virginia,2002,4194.0
West Virginia,2002,5250.0
Southwest,2002,4174.0
Arizona,2002,3791.0
New Mexico,2002,4042.0
Oklahoma,2002,4358.0
Texas,2002,4251.0
Rocky Mountains,2002,4119.0
Colorado,2002,4275.0
Idaho,2002,4004.0
Montana,2002,4477.0
Utah,2002,3619.0
Wyoming,2002,4706.0
Far West,2002,4225.0
Alaska,2002,5671.0
California,2002,4129.0
Hawaii,2002,4412.0
Nevada,2002,4072.0
Oregon,2002,4396.0
Washington,2002,4541.0
United States,2003,5090.0
New England,2003,6248.0
Connecticut,2003,6217.0
Maine,2003,6002.0
Massachusetts,2003,6599.0
New Hampshire,2003,5240.0
Rhode Island,2003,5992.0
Vermont,2003,5840.0
Mideast,2003,5975.0
Delaware,2003,6144.0
District of Columbia,2003,7646.0
Maryland,2003,5385.0
New Jersey,2003,5698.0
New York,2003,6331.0
Pennsylvania,2003,5791.0
Great Lakes,2003,5156.0
Illinois,2003,5077.0
Indiana,2003,5030.0
Michigan,2003,4895.0
Ohio,2003,5419.0
Wisconsin,2003,5411.0
Plains,2003,5322.0
Iowa,2003,5211.0
Kansas,2003,5138.0
Minnesota,2003,5675.0
Missouri,2003,5185.0
Nebraska,2003,5223.0
North Dakota,2003,5499.0
South Dakota,2003,5182.0
Southeast,2003,4928.0
Alabama,2003,4995.0
Arkansas,2003,4618.0
Florida,2003,5327.0
Georgia,2003,4367.0
Kentucky,2003,5084.0
Louisiana,2003,4902.0
Mississippi,2003,4699.0
North Carolina,2003,4896.0
South Carolina,2003,4836.0
Tennessee,2003,5085.0
Virginia,2003,4550.0
West Virginia,2003,5628.0
Southwest,2003,4410.0
Arizona,2003,4090.0
New Mexico,2003,4287.0
Oklahoma,2003,4755.0
Texas,2003,4445.0
Rocky Mountains,2003,4407.0
Colorado,2003,4585.0
Idaho,2003,4253.0
Montana,2003,4802.0
Utah,2003,3873.0
Wyoming,2003,5003.0
Far West,2003,4578.0
Alaska,2003,6100.0
California,2003,4493.0
Hawaii,2003,4757.0
Nevada,2003,4376.0
Oregon,2003,4675.0
Washington,2003,4882.0
United States,2004,5406.0
New England,2004,6696.0
Connecticut,2004,6714.0
Maine,2004,6471.0
Massachusetts,2004,7012.0
New Hampshire,2004,5733.0
Rhode Island,2004,6446.0
