Year,Cause Name,State,Deaths,Age-adjusted Death Rate,Population
2017,unintentional injuries,United States,169936,49.4,329791231
2017,unintentional injuries,Alabama,2703,53.8,4874747
2017,unintentional injuries,Alaska,436,63.7,739795
2017,unintentional injuries,Arizona,4184,56.2,7016270
2017,unintentional injuries,Arkansas,1625,51.8,3004279
2017,unintentional injuries,California,13840,33.2,39536653
2017,unintentional injuries,Colorado,3037,53.6,5607154
2017,unintentional injuries,Connecticut,2078,53.2,3588184
2017,unintentional injuries,Delaware,608,61.9,961939
2017,unintentional injuries,District of Columbia,427,61.0,693972
2017,unintentional injuries,Florida,13059,56.1,20984400
2017,unintentional injuries,Georgia,4712,45.2,10429379
2017,unintentional injuries,Hawaii,585,35.7,1427538
2017,unintentional injuries,Idaho,876,49.8,1716943
2017,unintentional injuries,Illinois,6019,44.4,12802023
2017,unintentional injuries,Indiana,3978,58.7,6666818
2017,unintentional injuries,Iowa,1536,42.8,3145711
2017,unintentional injuries,Kansas,1567,49.4,2913123
2017,unintentional injuries,Kentucky,3264,72.9,4454189
2017,unintentional injuries,Louisiana,2780,58.9,4684333
2017,unintentional injuries,Maine,990,68.0,1335907
2017,unintentional injuries,Maryland,2408,36.9,6052177
2017,unintentional injuries,Massachusetts,3821,51.5,6859819
2017,unintentional injuries,Michigan,5623,53.0,9962311
2017,unintentional injuries,Minnesota,2788,44.6,5576606
2017,unintentional injuries,Mississippi,1738,56.3,2984100
2017,unintentional injuries,Missouri,3776,58.8,6113532
2017,unintentional injuries,Montana,579,50.2,1050493
2017,unintentional injuries,Nebraska,811,38.5,1920076
2017,unintentional injuries,Nevada,1496,47.8,2998039
2017,unintentional injuries,New Hampshire,907,62.9,1342795
2017,unintentional injuries,New Jersey,4482,47.3,9005644
2017,unintentional injuries,New Mexico,1460,68.3,2088070
2017,unintentional injuries,New York,7687,35.5,19849399
2017,unintentional injuries,North Carolina,5985,56.3,10273419
2017,unintentional injuries,North Dakota,339,41.3,755393
2017,unintentional injuries,Ohio,8971,75.1,11658609
2017,unintentional injuries,Oklahoma,2563,62.5,3930864
2017,unintentional injuries,Oregon,2076,44.8,4142776
2017,unintentional injuries,Pennsylvania,9527,70.2,12805537
2017,unintentional injuries,Rhode Island,718,60.0,1059639
2017,unintentional injuries,South Carolina,3147,60.2,5024369
2017,unintentional injuries,South Dakota,537,56.1,869666
2017,unintentional injuries,Tennessee,4435,63.0,6715984
2017,unintentional injuries,Texas,10763,38.8,28304596
2017,unintentional injuries,Utah,1238,44.2,3101833
2017,unintentional injuries,Vermont,394,56.9,623657
2017,unintentional injuries,Virginia,3922,44.0,8470020
2017,unintentional injuries,Washington,3455,44.0,7405743
2017,unintentional injuries,West Virginia,1892,100.3,1815857
2017,unintentional injuries,Wisconsin,3746,58.3,5795483
2017,unintentional injuries,Wyoming,348,56.9,579315
2017,alzheimer's disease,United States,121404,31.0,329791231
2017,alzheimer's disease,Alabama,2563,45.2,4874747
2017,alzheimer's disease,Alaska,98,22.1,739795
2017,alzheimer's disease,Arizona,3058,35.1,7016270
2017,alzheimer's disease,Arkansas,1436,39.4,3004279
2017,alzheimer's disease,California,16238,37.1,39536653
2017,alzheimer's disease,Colorado,1830,34.2,5607154
2017,alzheimer's disease,Connecticut,1077,20.4,3588184
2017,alzheimer's disease,Delaware,377,30.6,961939
2017,alzheimer's disease,District of Columbia,125,17.6,693972
2017,alzheimer's disease,Florida,6980,20.7,20984400
2017,alzheimer's disease,Georgia,4290,46.0,10429379
2017,alzheimer's disease,Hawaii,465,19.7,1427538
2017,alzheimer's disease,Idaho,672,36.6,1716943
2017,alzheimer's disease,Illinois,4021,25.6,12802023
2017,alzheimer's disease,Indiana,2771,35.3,6666818
2017,alzheimer's disease,Iowa,1597,35.3,3145711
2017,alzheimer's disease,Kansas,894,24.3,2913123
2017,alzheimer's disease,Kentucky,1765,35.0,4454189
2017,alzheimer's disease,Louisiana,2188,43.7,4684333
2017,alzheimer's disease,Maine,601,30.4,1335907
2017,alzheimer's disease,Maryland,1191,17.1,6052177
2017,alzheimer's disease,Massachusetts,1841,19.9,6859819
2017,alzheimer's disease,Michigan,4428,34.5,9962311
2017,alzheimer's disease,Minnesota,2474,34.9,5576606
2017,alzheimer's disease,Mississippi,1626,49.6,2984100
2017,alzheimer's disease,Missouri,2545,32.3,6113532
2017,alzheimer's disease,Montana,285,20.9,1050493
2017,alzheimer's disease,Nebraska,698,28.5,1920076
2017,alzheimer's disease,Nevada,779,27.3,2998039
2017,alzheimer's disease,New Hampshire,436,24.8,1342795
2017,alzheimer's disease,New Jersey,2829,23.6,9005644
2017,alzheimer's disease,New Mexico,572,22.7,2088070
2017,alzheimer's disease,New York,3521,13.2,19849399
2017,alzheimer's disease,North Carolina,4289,37.3,10273419
2017,alzheimer's disease,North Dakota,387,36.5,755393
2017,alzheimer's disease,Ohio,5117,33.6,11658609
2017,alzheimer's disease,Oklahoma,1752,39.4,3930864
2017,alzheimer's disease,Oregon,1850,36.0,4142776
2017,alzheimer's disease,Pennsylvania,4213,21.7,12805537
2017,alzheimer's disease,Rhode Island,435,27.3,1059639
2017,alzheimer's disease,South Carolina,2549,45.0,5024369
2017,alzheimer's disease,South Dakota,444,36.9,869666
2017,alzheimer's disease,Tennessee,3522,46.7,6715984
2017,alzheimer's disease,Texas,9545,38.5,28304596
