Year,State,Population
2017,United States,329791231
2016,United States,327210198
2015,United States,324607776
2014,United States,322033964
2013,United States,319375166
2012,United States,316651321
2011,United States,313876608
2010,United States,311182845
2009,United States,308512035
2008,United States,305694910
2007,United States,302743399
2006,United States,299753098
2005,United States,296842670
2004,United States,293947885
2003,United States,291109820
2002,United States,288350252
2001,United States,285470493
2000,United States,282398554
1999,United States,279181581
1999,Alabama,4430141
2000,Alabama,4452173
2001,Alabama,4467634
2002,Alabama,4480089
2003,Alabama,4503491
2004,Alabama,4530729
2005,Alabama,4569805
2006,Alabama,4628981
2007,Alabama,4672840
2008,Alabama,4718206
2009,Alabama,4757938
2010,Alabama,4785579
2011,Alabama,4798649
2012,Alabama,4813946
2013,Alabama,4827660
2014,Alabama,4840037
2015,Alabama,4850858
2016,Alabama,4860545
2017,Alabama,4874747
,Alabama,88864048
1999,Alaska,624779
2000,Alaska,627963
2001,Alaska,633714
2002,Alaska,642337
2003,Alaska,648414
2004,Alaska,659286
2005,Alaska,666946
2006,Alaska,675302
2007,Alaska,680300
2008,Alaska,687455
2009,Alaska,698895
2010,Alaska,714015
2011,Alaska,722259
2012,Alaska,730825
2013,Alaska,736760
2014,Alaska,736759
2015,Alaska,737979
2016,Alaska,741522
2017,Alaska,739795
,Alaska,13105305
1999,Arizona,5023823
2000,Arizona,5160586
2001,Arizona,5273477
2002,Arizona,5396255
2003,Arizona,5510364
2004,Arizona,5652404
2005,Arizona,5839077
2006,Arizona,6029141
2007,Arizona,6167681
2008,Arizona,6280362
2009,Arizona,6343154
2010,Arizona,6407002
2011,Arizona,6465488
2012,Arizona,6544211
2013,Arizona,6616124
2014,Arizona,6706435
2015,Arizona,6802262
2016,Arizona,6908642
2017,Arizona,7016270
,Arizona,116142758
1999,Arkansas,2651860
2000,Arkansas,2678588
2001,Arkansas,2691571
2002,Arkansas,2705927
2003,Arkansas,2724816
2004,Arkansas,2749686
2005,Arkansas,2781097
2006,Arkansas,2821761
2007,Arkansas,2848650
2008,Arkansas,2874554
2009,Arkansas,2896843
2010,Arkansas,2921737
2011,Arkansas,2938640
2012,Arkansas,2949208
2013,Arkansas,2956780
2014,Arkansas,2964800
2015,Arkansas,2975626
2016,Arkansas,2988231
2017,Arkansas,3004279
,Arkansas,54124654
1999,California,33499204
2000,California,33987977
2001,California,34479458
2002,California,34871843
